candidate_name,model_type,benchmark,horizon_months,n_features,feature_columns,notes,policy_return_sign,policy_return_tiered,policy_uplift_vs_sell_50_sign,policy_uplift_vs_sell_50_tiered,n_obs,ic,hit_rate,mae,oos_r2,nw_ic,nw_p_value,strategy
elasticnet_current,elasticnet,VXUS,6,14,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income",Current production ElasticNet feature set.,0.07140693629746311,0.02746014144825904,0.03216162354193155,-0.011785171307272522,102,-0.09770200715705342,0.6764705882352942,0.17075149628440844,-0.4625130509058921,-0.09770200715705342,0.5809298805170797,
elasticnet_lean_v1,elasticnet,VXUS,6,13,"mom_3m,mom_6m,mom_12m,yield_slope,yield_curvature,credit_spread_hy,nfci,vix,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income,medical_cpi_yoy,roe",Drops weaker macro features and adds the strongest v9 add-one winners.,0.06446178876322,0.03692558773627809,0.02521647600768843,-0.0023197250192534776,102,0.106422698288221,0.6176470588235294,0.16430900240050023,-0.3264111296712664,0.106422698288221,0.5106641452226695,
ridge_current,ridge,VXUS,6,14,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm",Current production Ridge feature set.,0.050407411953185925,0.02808609675756186,0.011162099197654369,-0.0111592159979697,102,-0.014843003432267842,0.5490196078431373,0.1842085210893344,-0.6028812290699579,-0.014843003432267842,0.93079199351618,
ridge_lean_v1,ridge,VXUS,6,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy",Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.06564658430704233,0.039510081433074024,0.026401271551510785,0.0002647686775424567,102,0.16019700199603054,0.6568627450980392,0.1607320380178659,-0.33203694472809486,0.16019700199603054,0.35277550436327,
gbt_current,gbt,VXUS,6,11,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy",Current production GBT feature set.,0.07470636309876993,0.039619575355252644,0.03546105034323837,0.0003742625997210865,102,0.13418302725173237,0.6764705882352942,0.1489487007506607,-0.12205009954748358,0.13418302725173237,0.3176795960987352,
gbt_lean_plus_two,gbt,VXUS,6,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield",Adds the two strongest v9 GBT add-one winners.,0.07696497009814568,0.04083315649476239,0.037719657342614114,0.0015878437392308324,102,0.14949561207253687,0.696078431372549,0.1449065920727165,-0.10708125046955463,0.14949561207253687,0.2821756763891528,
gbt_lean_plus_three,gbt,VXUS,6,14,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield,underwriting_income_growth_yoy",Adds the two strongest wins plus a third underwriting-growth feature.,0.07977608825085074,0.0390293339232328,0.04053077549531919,-0.00021597883229875072,102,0.12014871572491144,0.6862745098039216,0.150466164593143,-0.13160641877694768,0.12014871572491144,0.3940632529484583,
bayesian_ridge_current,bayesian_ridge,VXUS,6,16,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,buyback_yield,buyback_acceleration",Current production BayesianRidge feature set.,0.036240038288427874,0.02854308887312884,-0.003005274467103682,-0.010702223882402722,102,0.118138998365856,0.45098039215686275,0.22454603156387667,-3.307609137258707,0.118138998365856,0.5139075722317654,
bayesian_ridge_lean_v1,bayesian_ridge,VXUS,6,14,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,npw_growth_yoy,roe",Smaller BayesianRidge set meant to test whether instability is partly feature-cost driven.,0.05898551809562764,0.03652586112767851,0.01974020534009608,-0.0027194516278530524,102,0.1953565430786368,0.5588235294117647,0.17902305945353103,-0.5324408095104303,0.1953565430786368,0.27291187111570336,
baseline_historical_mean,baseline,VXUS,6,0,,Simple non-ML baseline.,0.07849062551106312,0.03924531275553156,0.03924531275553156,0.0,102,-0.34854073899287713,0.696078431372549,0.1508877703535426,-0.11964934467311061,-0.34854073899287713,0.021297253521425613,historical_mean
