candidate_name,candidate_type,model_type,benchmark,n_features,feature_columns,current_predicted_return,ic,hit_rate,oos_r2,mae,policy_return_sign
ensemble_ridge_gbt_v16,ensemble,ensemble,VOO,25,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy,mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,rate_adequacy_gap_yoy,pif_growth_yoy,investment_book_yield",-0.03324718581468411,0.11298789143254546,0.5833333333333334,-0.2695986382330118,0.14854176442744113,0.040975239994043386
ensemble_ridge_gbt_v16,ensemble,ensemble,VXUS,25,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy,mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,rate_adequacy_gap_yoy,pif_growth_yoy,investment_book_yield",-0.19208504623946154,0.30018005658921376,0.6851851851851852,0.06249403064494685,0.13815529906909968,0.0780298118670137
ensemble_ridge_gbt_v16,ensemble,ensemble,VWO,25,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy,mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,rate_adequacy_gap_yoy,pif_growth_yoy,investment_book_yield",-0.021702191640895607,0.2503203394174094,0.5977011494252874,-0.11845044178703379,0.13991251730787976,0.06941614402096045
ensemble_ridge_gbt_v16,ensemble,ensemble,VMBS,25,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy,mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,rate_adequacy_gap_yoy,pif_growth_yoy,investment_book_yield",-0.028134672566278204,0.29129800680602813,0.7583333333333333,-0.06797877819030318,0.1269318913759718,0.11775619657175625
ensemble_ridge_gbt_v16,ensemble,ensemble,BND,25,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy,mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,rate_adequacy_gap_yoy,pif_growth_yoy,investment_book_yield",-0.012266353545534238,0.3593315258455932,0.7266666666666667,-0.1324153905357719,0.12295448408322253,0.10019771564898514
ensemble_ridge_gbt_v16,ensemble,ensemble,GLD,25,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy,mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,rate_adequacy_gap_yoy,pif_growth_yoy,investment_book_yield",-0.14983298941422515,0.2400835416730969,0.6166666666666667,-0.5052401544468796,0.1743088542656634,0.04610212368139309
ensemble_ridge_gbt_v16,ensemble,ensemble,DBC,25,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy,mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,rate_adequacy_gap_yoy,pif_growth_yoy,investment_book_yield",-0.19768800003982764,0.005304690703124605,0.6666666666666666,-0.2442253641685732,0.17424497781975345,0.08694147245655555
ensemble_ridge_gbt_v16,ensemble,ensemble,VDE,25,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy,mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,rate_adequacy_gap_yoy,pif_growth_yoy,investment_book_yield",-0.22627277936093293,0.055149850304021725,0.6333333333333333,-0.28463501952790704,0.19093309088692362,0.05898207544916741
ensemble_ridge_gbt_v18,ensemble,ensemble,VOO,25,"mom_12m,vol_63d,yield_slope,real_yield_change_6m,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy,mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,vwo_vxus_spread_6m,credit_spread_hy,nfci,vix,rate_adequacy_gap_yoy,pif_growth_yoy,investment_book_yield",-0.05690378246013145,0.10191774557718139,0.5555555555555556,-0.2957702805197031,0.1514048277152479,0.0402247982084527
ensemble_ridge_gbt_v18,ensemble,ensemble,VXUS,25,"mom_12m,vol_63d,yield_slope,real_yield_change_6m,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy,mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,vwo_vxus_spread_6m,credit_spread_hy,nfci,vix,rate_adequacy_gap_yoy,pif_growth_yoy,investment_book_yield",-0.21425205198147285,0.2946449836615317,0.7037037037037037,0.07999091477636078,0.1374004840715311,0.08399309040502051
